,Domain_Name,Organization_Name
782,dgde.gov.in,"Director General of Defence Estates(DGDE), Ministry of Defence"
783,dget.gov.in,"Directorate General of Training (DGT),  Ministry of Skill Development and Entrepreneurship"
784,dget.nic.in,Craftsmen Training Scheme
785,dgfasli.gov.in,"Directorate General, Factory Advice Service and Labour Institutes (DGFASLI)"
786,dgfscdhg.gov.in,"Directorate General of Fire Services, Civil Defence & Home Guards, Ministry of Home Affairs"
787,dgft.gov.in,Directorate General of Foreign Trade (DGFT)
788,dgftkolkata.wb.nic.in,"Zonal Joint Director General of Foreign Trade, Kolkata"
789,dghindia.gov.in,"Directorate General of Hydrocarbons (DGH), Noida"
790,dghrdcbic.gov.in,Directorate General of Human Resource Development (HRD)
791,dgicce.nic.in,"Directorate General of Inspection, Customs and Central Excise (DGICEE)"
792,dgll.gov.in,Directorate General of Lighthouses and Lightships
793,dgmap.gov.in,Directorate General of Married Accommodation Project (DG MAP)
794,dgms.gov.in,Directorate General of Mines Safety (DGMS)
795,dgqadefence.gov.in,"Directorate of Quality Assurance, Bangalore"
796,dgqadefence.nic.in,Directorate General of Quality Assurance ( DGQA)
797,dgrindia.com,"Directorate General Resettlement (DGR), Ministry of Defence"
798,dgshipping.gov.in,"Directorate General of Shipping, Mumbai"
799,dgtr.gov.in,Directorate General Of Trade Remedies (Directorate General of Anti-Dumping and Allied Duties)
800,dhr.gov.in,"Department of Health Research, Ministry of Health & Family Welfare"
801,dhr.indianrailways.gov.in,Darjeeling Himalayan Railway
802,dial.gov.in,Dial.gov - Common Man's Interface to Welfare Schemes
803,diamondinstitute.net,Indian Diamond Institute
804,dicgc.org.in,"Deposit Insurance and Credit Guarantee Corporation, Mumbai"
805,digidhan.mygov.in,"DigiDhan: Go Cashless, Go Digital"
806,digidhanlucky.mygov.in,Lucky Grahak Yojana and Digi-Dhan Vyapar Yojana
807,digisevak.gov.in,DigiSevak - Digital India Volunteer Programme
808,digitalindia.gov.in,"Digital India Programme, Government of India"
809,digitalindiaawards.gov.in,Digital India Awards 2016 (earlier known as WebRatna Awards)
810,digitaljagriti.in,"Digital Finance Inclusion, Awareness & Access (DFIAA)"
811,digitallocker.gov.in,"DigiLocker - Dedicated personal storage space, linked to resident’s Aadhaar number"
812,digitalmsme.gov.in,"Digital MSME Scheme, Ministry of Micro, Small & Medium Enterprises"
813,digitalpolice.gov.in,"Digital Police Portal by  NCRB, MHA"
814,digitizeindia.gov.in,Digitize India Platform - A Digital India Initiative
815,diksha.gov.in,DIKSHA - National Digital Infrastructure for Teachers
816,dilrmp.gov.in,Digital India Land Records Modernization Programme (DILRMP)
817,dipam.gov.in,Department of Investment and Public Asset Management
818,dipp.gov.in,Department for Promotion of Industry and Internal Trade
819,dirbcglab.gov.in,"BCG Vaccine Laboratory, Chennai"
820,disabilityaffairs.gov.in,Department of Empowerment of Persons with Disabilities
821,disha.gov.in,DISHA - District Development Coordination and Monitoring Committees
822,dispur.nic.in,"Assam State Centre, National Informatics Centre (NIC)"
823,districts.gov.in,Districts of India
824,djd.dacnet.nic.in,Directorate of Jute Development
825,dlai.gov.in,Digital Locker Authority (DLA)
826,dlw.indianrailways.gov.in,"Diesel Locomotive Works, Varanasi"
827,dmdesic.nic.in,"Directorate Medical Delhi, Employees State Insurance, Tilak Vihar, Delhi"
828,dmi.gov.in,"Directorate of Marketing and Inspection (DMI), Ministry of Agriculture and Farmers Welfare"
829,dmicdc.com,"Delhi Mumbai Industrial Corridor Development Corporation Limited, New Delhi"
830,dmr.res.in,Directorate of Maize Research (DMR)
831,dmrcjodhpur.nic.in,"Desert Medicine Research Centre, ICMR, Jodhpur, Rajasthan"
832,dms.gov.in,Delhi Milk Scheme
833,dmw.indianrailways.gov.in,Diesel Loco Modernisation Works
834,dnaclubs.nic.in,DNA Clubs Program (DBT's Natural Resource Awareness Clubs)
835,doe.gov.in,Department of Expenditure
836,dof.gov.in,Department of Fisheries
837,dogr.res.in,"Directorate of Onion and Garlic Research, Pune, Maharashtra"
838,doj.gov.in,Department of Justice
839,dolcbec.gov.in,"Directorate of Logistics, Customs and Central Excise"
840,dolr.nic.in,Department of Land Resources (DLR)
841,doordarshangoa.gov.in,"Doordarshan Kendra, Panaji, Goa"
842,dop.gov.in,Directorate of Printing
843,dopmobile.in,Mobile Money Transfer Service by India Post
844,dopr.gov.in,"Directorate of Oil Palm Research, West Godavari, Andhra Pradesh"
845,dopt.gov.in,Department of Personnel and Training
846,dor.gov.in,Department of Revenue
847,dos.gov.in,Department of Space
848,dot.gov.in,Department of Telecommunications (DOT)
849,dotasset.gov.in,"Asset Register, Department of Telecommunication"
850,dotosp.gov.in,"Online OSP Registration system, Department of TeleCommunication"
851,dov.gov.in,"Directorate General of Valuation, CBEC, Govt. of India"
852,dpd.gov.in,"Directorate of Pulses Development, Department of Agriculture,Cooperation & Farmers Welfare"
853,dpe.nic.in,Department of Public Enterprises
854,dpeblog.gov.in,"Blog of Department of Public Enterprises, Govt. of India"
855,dpemou.nic.in,"Department of Public Enterprises (DPE), MOU Division"
856,dpg.gov.in,Directorate of Public Grievances (DPG)
857,dpl.gov.in,Delhi Public Library
858,dppr.gov.in,Directorate of Publicity and Public Relations (DPPR)
859,dpsdae.gov.in,Directorate of Purchase and Stores
860,drat.tn.nic.in,"Debt Recovery Appellate Tribunal (DRAT), Chennai, Tamil Nadu"
861,drcestatahd.gov.in,"Joint Chief Departmental Representative Customs, Excise and Service Tax Appellate Tribunal, Ahmedabad"
862,drd.nic.in,Department of Rural Development (DRD)
863,drdo.gov.in,Defence Research and Development Organisation (DRDO)
864,drdpat.bih.nic.in,"Directorate of Rice Development, Patna"
865,dredge-india.nic.in,"Dredging Corporation of India, Visakhapatnam"
866,dri.nic.in,Directorate of Revenue Intelligence (DRI)
867,drt.gov.in,Debts Recovery Tribunal (DRT) & Debts Recovery Appellate Tribunal (DRAT)
868,drt1chennai.tn.nic.in,"Debts Recovery Tribunal No 1, Chennai, Tamil Nadu"
869,drt2chennai.tn.nic.in,"Debts Recovery Tribunal No 2, Chennai, Tamil Nadu"
870,drt3chennai.tn.nic.in,"Debts Recovery Tribunal No 3, Chennai"
871,drtaurangabad.gov.in,"Debts Recovery Tribunals, Aurangabad"
872,drtcbe.tn.nic.in,"Debts Recovery Tribunal, Coimbatore, Tamil Nadu"
873,drtekm.gov.in,"Debts Recovery Tribunal, Ernakulam (Kerala and Lakshadweep)"
874,drtmadurai.tn.nic.in,"Debt Recovery Tribunal, Madurai"
875,drtpunjab.gov.in,"Debts Recovery Tribunal-II, Chandigarh"
876,dsir.gov.in,Department of Scientific and Industrial Research (DSIR)
877,dssc.gov.in,"Defence Services Staff College, Wellington"
878,dsscic.nic.in, Central Information Commission (CIC) Online
879,dst.gov.in,Department of Science and Technology (DST)
880,dsttara.in,"Technological Advancement for Rural Areas (TARA), SEED, Department of Science and Technology"
881,du.ac.in,University of Delhi
882,duac.org,Delhi Urban Art Commission (DUAC)
883,ducc.du.ac.in,Delhi University Computer Centre (DUCC)
884,dvc.gov.in,Damodar Valley Corporation (DVC)
885,dwr.org.in,ICAR-Directorate of Weed Research (DWR) Jabalpur 
886,dwr.res.in,Directorate of Wheat Research (DWR)
887,e-aushadhi.gov.in,e-AUSHADHI - Online Licensing Portal of Ministry of AYUSH
888,e-commcourt.gov.in,"Commercial Courts, Department of Industrial Policy & Promotion"
889,eaadhaar.uidai.gov.in,e-Aadhaar Portal by UIDAI
890,eacpm.gov.in,Economic Advisory Council to The Prime Minister
891,eadmission.cipet.gov.in,Online Admission to Central Institute of Plastics Engineering and Technology (CIPET)
892,eaindustry.nic.in,Office of the Economic Adviser
893,eands.dacnet.nic.in,Directorate of Economics and Statistics (DES)
894,eastcoastrail.indianrailways.gov.in,East Coast Railway
895,easterncoal.gov.in,Eastern Coal Fields Limited
896,easynicsms.gov.in,"SMS Services, Press Information Bureau (PIB)"
897,eatrightindia.gov.in,Eat Right India : 'Eat Healthy' and 'Eat Safe' - An initiative of FSSAI
898,eauction.gov.in,Government eAuction System
899,eawas.nic.in,eAwas – Government Accommodation Management System (GAMS)
900,ebharatgas.com,Bharatgas
901,ebiz.gov.in,eBiz - India's Government-to-Business(G2B) Portal
902,ebook.mca.gov.in,"eBook - The Companies Act 2013, Ministry of Corporate Affairs"
903,ecbse.nic.in,Collection of CBSE Books in Electronic Format
904,ecgcindia.in,Export Credit Guarantee Corporation of India Limited (ECGC)
905,echs.gov.in,Ex-Servicemen Contributory Health Scheme (ECHS)
906,eci-citizenservices.nic.in,"Citizen Services Portal, Election Commission of India"
907,eci.gov.in,Election Commission of India
908,eciresults.nic.in,"General Elections 2014 - Trends & Results, Election Commission of India"
909,ecisveep.nic.in,"Systematic Voters’ Education and Electoral Participation (SVEEP), Election Commission of India"
910,ecltenders.nic.in,eProcurement Portal of Eastern Coalfields Limited (ECL)
911,ecr.indianrailways.gov.in,East Central Railway
912,edantseva.gov.in,e-Dantseva: National Oral Health Programme (NOHP)
913,edcilindia.co.in,Educational Consultants India Limited (EDCIL)
914,edisnic.gov.in,e-District Information System of NIC (e-DISNIC)
915,edistrictodisha.gov.in,"e - District, Odisha"
916,eeslindia.org,Energy Efficiency Services Limited (EESL) - A Joint Venture Company of PSUs of Ministry of Power
917,eetp.bsnl.co.in,"Employability Enhancement Training Program (EETP), BSNL"
918,eex.dcmsme.gov.in,"Employment Exchange for Industries, Development Commissioner (MSME)"
919,efa.gov.in,"Engine Factory Avadi (EFA), Ordnance Factory Board, Ministry of Defence"
920,efc.planningcommission.nic.in,"Expenditure Finance Committee (EFC), Planning Commission"
921,egazette.nic.in,eGazette of India
922,eglibnet.nic.in,"e-Granthalaya, Libraries Network, New Delhi"
923,egovmobileapps.nic.in,e-Gov Mobile App Store - repository of Mobile Apps developed by NIC
924,egovstandards.gov.in,eGovernance Standards Portal
925,egranthalaya.nic.in,e-Granthalaya - A Digital Agenda for Library Automation and Networking
926,egreetings.gov.in,"eGreetings Portal by NIC, MeitY, Govt. of India"
927,ehospital.nic.in,e-Hospital - A Hospital Management System from National Informatics Centre (NIC)
928,eicindia.gov.in,Export Inspection Council of India (EIC)
929,ekbharat.gov.in,Ek Bharat Shreshtha Bharat
930,ekbharatshreshthabharat.gov.in,Ek Bharat Shreshtha Bharat announced by Hon’ble Prime Minister of India
931,elearning.bsnl.co.in,BSNL elearning services
932,elections.tn.gov.in,"Chief Electoral Officer (CEO), Tamil Nadu"
933,electoralsearch.in,"National Electoral Search, Election Commission of India"
934,electrical.bsnl.co.in,"Telecom Electrical Wing, BSNL"
935,emigrate.gov.in,eMigrate - Apply for Emigration Clearance for ECR Countries
936,emmc.gov.in,"Electronic Media Monitoring Center (EMMC), Ministry of Information and Broadcasting"
937,empcom.gov.in,Empowered Committee of State Finance Ministers
938,employmentnews.gov.in,Employment News
939,employmentservice.nic.in,National Employment Service
940,enam.gov.in,National Agriculture Market (NAM) Portal
941,enforcementdirectorate.gov.in,Directorate of Enforcement
942,engineeringprojects.com,Engineering Projects (India) Ltd.
943,engineersindia.eil.co.in,Engineers India Limited (EIL)
944,enivesh.gov.in,"e-Nivesh - National Portal for Monitoring Clearances, Project Monitoring Group, Cabinet Secretariat"
945,ennoreport.gov.in,Ennore Port Limited
946,enquiry.indianrail.gov.in,"National Train Enquiry System, CRIS, Indian Railways"
947,enrich.nic.in,Community Software Solution Framework (eNRICH)
948,enterpriseindia.gov.in,Udyam Parichay online Portal - a bridge between job seekers and job providers
949,environmentclearance.nic.in,Online Submission and Monitoring of Environmental Clearances
950,envis.nic.in,"ENVIS Centres (Environmental Information System), Ministry of Environment, Forest and Climate Change"
951,enviscecb.org,"Chhattisgarh Environment Conservation Board, Raipur"
952,envisempri.kar.nic.in,ENVIS - Environment Management and Policy Research Institute (EMPRI)
953,envismadrasuniv.org,"ENVIS Centre on Microorganisms and Environment  Management, University or Madras, Chennai"
954,eouindia.gov.in,"Export Promotion Council for EOUs and SEZs, New Delhi"
955,epashuhaat.gov.in,"e-Pashuhaat - One stop portal for bovine germ plasm breeders, sellers and buyers"
956,epathshala.GOV.in,ePathshala - eLearning on the go by NCERT
957,epds.nic.in,Public Distribution System (ePDS) by Department of Food and Public Distribution
958,epfdehradun.gov.in,"Employees Provident Fund Organisation (EPFO), Dehradun, Uttarakhand"
959,epfdelhi.gov.in,"Employees Provident Fund Organization (EPFO), Delhi Region"
960,epfglb.kar.nic.in,"Employees Provident Fund Organisation (EPFO), Gulbarga"
961,epfgoa.com,"Employees Provident Fund Organisation (EPFO), Regional Office, Goa"
962,epfguwahati.gov.in,"Employee Provident Fund Organisation (EPFO), Guwahati"
963,epfhimachal.nic.in,"Employees Provident Fund Organization (EPFO), Shimla, Himachal Pradesh"
964,epfigms.gov.in,"EPFiGMS - Employees Provident Fund, Grievance Management System, New Delhi"
965,epfindia.gov.in,Employees Provident Fund Organisation (EPFO)
966,epfjharkhand.nic.in,"Employees Provident Fund Organisation (EPFO), Jharkhand Region"
967,epfkerala.in,"Employees Provident Fund Organisation (EPFO), Kerala Region, Thiruvananthapuram"
968,epfkolkata.com,"Employees Provident Fund Organisation (EPFO), Kolkata Region, West Bengal"
969,epfo-hyd.ap.nic.in,"Employees Provident Fund Organisation (EPFO), Hyderabad"
970,epfocoimbatore.tn.nic.in,"Employees Provident Fund Organisation (EPFO), Coimbatore"
971,epfopune.gov.in,"Employees Provident Fund Organisation (EPFO), Regional Office, Pune, Maharashtra"
972,epfosurat.com,"Employees Provident Fund Organisation (EPFO), Surat"
973,epfotambaram.tn.nic.in,"Employees Provident Fund Organisation (EPFO), Tambaram, Tamilnadu"
974,epfovadodara.com,"Employees Provident Fund Organisation (EPFO), Vadodara"
975,epfthane.gov.in,"Employees Provident Fund Organisation (EPFO), Regional Office, Thane, Mumbai-II"
976,epost-indiapost.gov.in,ePOST - send messages to any address in India by India Post
977,epostoffice.gov.in,ePost Office - India Post on Your Desktop
978,epramaan.gov.in,"e-Pramaan - Framework for e-Authentication by CDAC, MeitY"
979,eprocure.gov.in,Central Public Procurement Portal
980,eprocuregsl.nic.in,eProcurement Portal of Goa Shipyard Limited (GSL)
981,eprocuremidhani.nic.in,eProcurement Portal of Mishra Dhatu Nigam Limited (MIDHANI)
982,eprosecution.gov.in,"e-Prosecution, Department of Prosecution, Ministry of Home Affairs"
983,eptrienvis.nic.in,ENVIS Centre Environment Protection Training and Research Institute (EPTRI)
984,eqjcourts.gov.in,e-Quasi Judicial Courts Information System
985,er.indianrailways.gov.in,Eastern Railway
986,ercncte.org,"National Council for Teacher Education, Eastern Regional Committee (ERC)"
987,erldc.in,"Eastern Regional Load Despatch Center - Power System Operation Corporation Limited, Kolkata"
988,erms.man.nic.in,"Electoral Roll Management System (ERMS), Chief Electoral Officer (CEO), Manipur"
989,ernet.in,Education and Research Network (ERNET)
990,erpc.gov.in,Eastern Regional Power Committee (ERPC)
991,erusteel.nic.in,"Economic Research Unit (ERU), New Delhi"
992,esamarth.gov.in,"e-Samarth: Empowering the Government Employee, G2E Initiative of the Controller General of Accounts"
993,escope.gov.in,eSCOPE - Forum for Facilitating Exports
994,ese.iitb.ac.in,"Department of Energy Science and Engineering, Indian Institute of Technology Bombay"
995,esic.nic.in,Employees State Insurance Corporation (ESIC)
996,esichospitals.gov.in,ESIC Hospitals & Dispensaries
997,esickar.gov.in,"Employees State Insurance Corporation (ESIC), Karnataka"
998,esickerala.gov.in,"Employees State Insurance Corporation (ESIC), Kerala"
999,esicmaharashtra.gov.in,"Employees State Insurance Corporation (ESIC), Regional Office, Mumbai"
1000,esicmp.in,"Employees State Insurance Corporation (ESIC), Indore, Madhya pradesh"
1001,esicner.in,"Employees State Insurance Corporation (ESIC), North East Region"
1002,esicorissa.nic.in,"Employees State Insurance Corporation (ESIC), Odisha"
1003,esicpondicherry.com,"Employees State Insurance Corporation (ESIC), Puducherry"
1004,esicpune.in,"Employees State Insurance Corporation (ESIC), Sub Regional Office (SRO), Pune"
1005,esicvijayawada.gov.in,"Employee's State Insurance Corporation (ESIC), Sub-Regional Office, Vijayawada"
1006,esihospital.org,"Employees State Insurance Model Hospital - Basai Darapur, New delhi"
1007,esipgimsrandherimumbai.gov.in,"Employees State Insurance Corporation (ESI) - Post Graduate Institute of Medical Science and Research, Andheri"
1008,estates.gov.in,"Directorate of Estates, Ministry of Urban Development"
1009,esuvidha.gov.in,eSuvidha - Online Projects Management System (ePMS)
1010,etaal.gov.in,eTaal - Electronic Transaction Aggregation and Analysis Layer
1011,etp.bsnl.co.in,Eastern Telecom Project Circle
1012,etr.bsnl.co.in,Eastern Telecom Region
1013,etrade.gov.in,EC/EDI for Trade in India
1014,etraveltradeapproval.nic.in,"E-Recognition System for Travel Trade, Ministry of Tourism"
1015,ewaybillgst.gov.in,e-Way Bill System - One Nation One e-Way Bill for movement of Goods throughout the Country
1016,excisenashik.gov.in,"Central Excise and Customs, Nashik Commissionerate, Maharashtra"
1017,excisesalem.tn.nic.in,"Central Excise Commissionerate, Salem"
1018,excisevadodara2.nic.in,"Commissionerate of Central Excise and Customs, Vadodara - II"
1019,fact.co.in,The Fertilizers and Chemicals Travancore Limited (FACT)
1020,fagmil.nic.in,FCI Aravali Gypsum and Minerals India Limited (FAGMIL)
1021,fame-india.gov.in,"FAME-India: National Mission on Electric Mobility, National Automotive Board (NAB)"
1022,farmech.dac.gov.in,National Portal on Mechanization and Technology
1023,farmer.gov.in,Farmers Portal - One Stop Shop For Farmers
1024,faunaofindia.nic.in,Digital Archive of Publication of Zoological Survey of India (ZSI)
1025,fbp.gov.in,"Farakka Barrage Project (FBP) - Ministry of Water Resources, River Development & Ganga Rejuvenation"
1026,fcamin.nic.in,"Ministry of Consumer Affairs, Food and Public Distribution"
1027,fci.gov.in,Food Corporation of India (FCI)
1028,fciajmer.com,"Food Craft Institute, Ajmer, Rajasthan"
1029,fcikerala.org,"Food Craft institute, Kerala"
1030,fcraonline.gov.in,FCRA (Foreign Contribution Regulation Act) Online Services
1031,fcriindia.com,"Fluid Control Research Institute (FCRI), Palakkad"
1032,fddiindia.com,Footwear Design and Development Institute (FDDI)
1033,fert.nic.in,Department of Fertilizers
1034,fertcorpindia.nic.in,Fertilizer Corporation of India Limited (FCIL)
1035,ffconline.gov.in,Allocation and Release of Grants to Rural Local Bodies by Fourteenth Finance Commission (FFC)
1036,ffdcindia.org,"Fragrance and Flavour Development Centre (FFDC), Uttar Pradesh"
1037,ffo.gov.in,"Film Facilitation Office (FFO), National Film Development Corporation"
1038,fhel.co.in,"Fresh and Health Enterprise Limited (FHER), Container Corporation of India Limited (CONCOR), Haryana"
1039,fieldgunindia.gov.in,"Field Gun Factory, Kanpur"
1040,fifp.gov.in,Foreign Investment Facilitation Portal (FIFP) by Department of Industrial Policy and Promotion (DIPP)
1041,filmsdivision.org,"Films Division , Ministry of Information and Broadcasting"
1042,financialservices.gov.in,Department of Financial Services
1043,fincomindia.nic.in,Fifteenth Finance Commission of India
1044,finmin.nic.in,Ministry of Finance
1045,fist-dst.org,Fund for Improvement of S and  T Infrastructure in Higher Educational Institutions
1046,fiuindia.gov.in,Financial Intelligence Unit India (FIU-IND)
1047,fms.edu,"Faculty of Management Studies, University of Delhi"
1048,fmttibudni.gov.in,"Central Farm Machinery Training and Testing Institute, Budni"
1049,focusafrica.gov.in,"Focus Africa Programme, Department of Commerce"
1050,foodcraftinstituteudaipur.com,"Food Craft institute, Udaipur"
1051,foodlicensing.fssai.gov.in,Food Licensing and Registration System of Food Safety and Standards Authority of India (FSSAI)
1052,forest.and.nic.in,Andaman and Nicobar Islands Forest and Plantation Development Corporation Limited
1053,forestrights.nic.in,Scheduled Tribes and Other Traditional Forest Dwellers
1054,forumofregulators.gov.in,Forum of Regulators
1055,fri.icfre.gov.in,"Forest Research Institute (FRI), ICFRE, Dehradun"
1056,frienvis.nic.in,"ENVIS Centre on Forestry, Forest Research Institute, ICFRE, Dehradun"
1057,frlhtenvis.nic.in,"ENVIS - Enviornmental Information System, Medicinal Plants in India"
1058,fsez.gov.in,Falta Special Economic Zone (FSEZ)
1059,fsi.gov.in,"Fishery Survey of India (FSI), Mumbai"
1060,fsi.nic.in,Forest Survey of India (FSI)
1061,fsnl.nic.in,"Ferro Scrap Nigam Limited (FSNL), Chhattigarh"
1062,fssai.gov.in,Food Safety and Standards Authority of India (FSSAI)
1063,ftibangalore.gov.in,"Foremen Training Institute, Bangalore"
1064,ftiindia.com,Film and Television Institute of India (FTII)
1065,fwtrc.gov.in,"Family Welfare and Training Centre, Mumbai"
1066,g20india.gov.in,"G20 India Secretariat, New Delhi"
1067,gailgas.com,GAIL Gas Limited - Gas Authority of India Limited (GAIL)
1068,gailonline.com,GAIL (India) Limited
1069,gallantryawards.gov.in,"Gallantry Awards, Ministry of Defence"
1070,gallantrymedals.gov.in,"Gallantry Medals, Ministry of Home Affairs"
1071,gama.gov.in,"Portal for Grievances Against Misleading Advertisements (GAMA), Dept. of Consumer Affairs"
1072,gampuri.nic.in,"Gopabandhu Ayurveda Mahavidyalaya, Puri, Odisha"
1073,gandhi.gov.in,150th Birth Anniversary of Mahatma Gandhi
1074,gandhismriti.gov.in,Gandhi Smriti and Darshan Samiti (GSDS)
1075,gasab.gov.in,Government Accounting Standards Advisory Board (GASAB)
1076,gate.iitg.ac.in,"Graduate Aptitude Test in Engineering (GATE), Indian Institute of Technology, Guwahati"
1077,gbpihed.gov.in,Govind Ballabh Pant (G.B. Pant) Institute of Himalayan Environment and Development (GBPIHED)
1078,gbpihedenvis.nic.in,"ENVIS Centre on Himalayan Ecology, G.B. Pant Institute of Himalayan Environment and Development, Almora"
1079,gcnep.gov.in,Global Centre for Nuclear Energy Partnership (GCNEP)
1080,gem.gov.in,"Government e-Marketplace (GeM), DGS&D"
1081,geos.iitb.ac.in,"Department of Earth Sciences, IIT Bombay"
1082,geourbanmissions.gov.in,"Geo Portal for Urban Mission, Ministry of Housing and Urban Affairs"
1083,gepg.nic.in,Government of India e-Payment Gateway (GePG)
1084,gfcc.bih.nic.in,"Ganga Flood Control Commission (GFCC), Patna"
1085,ghtc-india.gov.in,Global Housing Technology Challenge - India (GHTC - India)
1086,gicofindia.com,General Insurance Corporation of India (GIC)
1087,giso.gov.in,"Government of India Stationery Office, Kolkata"
1088,gnr.stpi.in,"Software Technology Parks Of India (STPI), Gandhinagar, Gujarat"
1089,goashipyard.co.in,Goa Shipyard Limited
1090,goicharters.nic.in,Citizens Charters in Government of India
1091,goidirectory.gov.in,GOI Web Directory - Directory of Official web sites of Government of India
1092,gpra.nic.in,"Online Information on House Allotments, Directorate of Estates, Ministry of Urban Development"
1093,greene.gov.in,GREENE - An E-Waste awareness initiative supported by Ministry of Electronics and Information Technology (MeitY)
1094,greenteacher.org,"Green Teacher - ENVIS Centre for Environment Education (CEE), Ahmedabad "
1095,greentribunal.gov.in,"National Green Tribunal (NGT), New Delhi"
1096,grihkalyankendra.gov.in,Grih Kalyan Kendra
1097,grip.gov.in,"GRameen Internal audit Portal (GRIP), Ministry of Rural Development"
1098,grmb.gov.in,Godavari River Management Board
1099,grse.in,Garden Reach Ship Builders and Engineers Limited (GRSE)
1100,gsdp-envis.gov.in,"Green Skill Development Programme (GSDP) by Ministry of Environment, Forest & Climate Change"
1101,gsf.gov.in,"Gun and Shell Factory, Cossipore, Kolkata"
1102,gsi.gov.in,Geological Survey of India (GSI)
1103,gssaap-cag.nic.in,"Principal Accountant General, General and Social Sector Audit, Andhra Pradesh and Telangana"
1104,gst.gov.in,Goods and Services Tax (GST)
1105,gstcouncil.gov.in,Goods and Services Tax (GST) Council
1106,gstcxmangalore.gov.in,"Central Excise & Central Tax (CGST) Commissionarate, Mangalore"
1107,gstdelhiwest.gov.in,"Goods & Services Tax Commissionerate, Delhi West"
1108,gstdelhizone.gov.in,"Goods and Services Tax (GST) & Central Excise, Delhi Zone"
1109,gstindore.gov.in,"Customs, Central Excise and Service Tax Commissionerate, Indore, Madhya Pradesh"
1110,gstjabalpur.gov.in,"Goods & Service Tax (GST) Commissionerate, Jabalpur, Madhya Pradesh"
1111,gstkarnataka.gov.in,"Goods and Services Tax (GST) Commissionerate, Bengaluru Zone (BZ), Karnataka"
1112,gstludhiana.gov.in,"Central Excise and Service Tax Commissionerate, Ludhiana, Punjab"
1113,gstmumbai.gov.in,"Goods and Service Tax (GST) and Central Excise Commissionerate, Mumbai Zone"
1114,gstmumbaieast.gov.in,Goods & Services Tax (GST) Commissionerate Mumbai East
1115,gstraipuraudit.gov.in,"Central Goods & Service Tax, Raipur, Chhattisgarh"
1116,guj.bsf.gov.in,"Gujarat  Frontier, Border Security Force (BSF)"
1117,guj.nic.in,"Gujarat State Centre, National Informatics Centre (NIC)"
1118,gujarat.bsnl.co.in,Gujarat Telecom Circle
1119,gujaratpost.gov.in,"Gujarat Postal Circle, Department of Posts"
1120,guwahati.stpi.in,"Software Technology Park of India (STPI), Guwahati, Assam"
1121,haj.gov.in,"Haj Division, Ministry of Minority Affairs"
1122,hajcommittee.gov.in,Haj Committee of India
1123,hal-india.com,Hindustan Aeronautics Limited (HAL)
1124,hamaribitiya.nic.in,Report Sex Selection
1125,handicrafts.nic.in,Office of Development Commissioner for Handicrafts
1126,handlooms.gov.in,Office of Development Commissioner for Handlooms
1127,handloomschemes.gov.in,"Handloom Development Schemes, Development Commissioner for Handlooms"
1128,haryana.bsnl.co.in,Haryana Telecom Circle
1129,haryanapost.gov.in,Haryana Postal Circle
1130,hbcse.tifr.res.in,Homi Bhabha Centre for Science Education (HBCSE)
1131,hbni.ac.in,"Homi Bhabha National Institute, Mumbai"
1132,heavyindustry.gov.in,Department of Heavy Industry
1133,hecltd.com,Heavy Engineering Corporation Limited (HEC)
1134,helpline.rb.nic.in,Presidents Secretariat Helpline
1135,hfl.co.in,"Hindustan Flurocarbons Limited (HFL), Hyderabad"
1136,hfri.icfre.gov.in,Himalayan Forest Research Institute
1137,hheconline.in,Online Service for Handicrafts and Handlooms Exports Corporation Limited
1138,hhecworld.in,Handicrafts and Handlooms Export Corporation (HHEC)
1139,hil.gov.in,Hindustan Insecticides Limited (HIL)
1140,hindantibiotics.in,Hindustan Antibiotics Limited (HAL)
1141,hindcables.gov.in,"Hindustan Cables Limited (HCL), Kolkata"
1142,hindivishwa.org,Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya
1143,hindpaper.in,Hindustan Paper Corporation Ltd.
1144,hindprefab.org,"Hindustan Prefab Limited, New Delhi"
1145,hindustancopper.gov.in,Hindustan Copper Limited (HCL)
1146,hindustanpetroleum.com,Hindustan Petroleum Corporation Limited (HPCL)
1147,hllbiotech.com,"HLL Biotech Limited, Chennai, Tamilnadu"
1148,hmti.com,HMT (International) Limited
1149,hmtindia.com,HMT Limited
1150,hmtmachinetools.com,HMT Machine Tools Ltd.
1151,hnbgu.ac.in,"Hemwati Nandan Bahuguna Garhwal University, Uttarakhand"
1152,hnlonline.com,Hindustan Newsprint Limited (HNL)
1153,hocl.gov.in,Hindustan Organic Chemicals Limited
1154,hoclkochi.com,Hindustan Organic Chemicals Limited (HOCL) - Kochi Division
1155,holidayhomes.nic.in,Central Government Holiday Homes and Touring Officers Hostel
1156,hooghlydock.gov.in,Hooghly Dock and Port Engineers Limited (HDPEL)
1157,hooghlyprinting.com,"Hooghly Printing Company Limited, Kolkata"
1158,hortnet.gov.in,HORTNET - An initiative of National Horticulture Mission
1159,howrahbridgekolkata.gov.in,"Howrah Bridge (Rabindra Setu), Kolkata"
1160,hp.bsnl.co.in,Himachal Pradesh Telecom Circle
1161,hpclbiofuels.co.in,"HPCL Biofuels Limited, Bihar"
1162,hplism.nic.in,"Homoeopathic Pharmacopoeia Laboratory (HPL), Ghaziabad, Uttar Pradesh"
